M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,1,Salman ,-,OH,3,1,2,0,-,9.09,1,1,2,4,0,2,1,0,3,33.33,0,0,4,4,0,3,1,5,9,22.22,3,1,4,50,0,0,3,3,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,7,Usman ,-,OH,4,4,0,0,-,0,4,1,6,11,27.27,0,1,1,2,-50,0,2,6,8,-25,1,0,4,5,20,0,0,0,-,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,10,Fahad Raza,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,1,100,0,0,2,2,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,11,Murad ,-,O,14,11,3,0,-,-2.04,11,7,9,27,14.81,3,5,3,11,-18.18,0,3,8,11,-27.27,0,0,0,0,-,4,2,8,25,0,0,3,3,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,13,Kashif ,-,S,0,0,0,0,-,-18.18,0,0,0,0,-,0,2,1,3,-66.67,0,0,8,8,0,0,0,1,1,0,5,3,10,20,8,0,51,59,13.56
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,14,Zaheer ,-,MB,6,3,2,1,-,7.89,3,1,4,8,25,2,1,6,9,11.11,1,1,19,21,0,0,0,0,0,-,5,0,7,71.43,0,0,1,1,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,15,Murad,C,OH,9,8,1,0,-,21.88,8,2,10,20,30,1,0,0,1,100,0,0,11,11,0,5,0,13,18,27.78,7,1,9,66.67,0,0,5,5,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,16,Afaq ,-,OH,14,11,1,2,-,16.28,11,4,14,29,24.14,1,1,0,2,0,2,2,8,12,0,3,0,4,7,42.86,3,1,5,40,0,0,5,5,0
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,17,Hamid ,-,S,1,0,1,0,-,0,0,0,0,0,-,1,1,1,3,0,0,0,4,4,0,0,0,0,0,-,4,1,6,50,5,0,21,26,19.23
Men,2025,1 ,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25 ,25 ,18 ,25 ,-,18 ,12 ,25 ,22 ,-,ALL,18,Musawer ,-,MB,14,10,4,0,-,22.22,10,1,2,13,69.23,4,4,2,10,0,0,1,12,13,-7.69,0,0,0,0,-,3,0,4,75,0,0,1,1,0
