M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2025,11,2025/6/20,9th-11th,-,Manama,Bahrain,Philippines,Thailand,0,3,21,20,18,-,-,25,25,25,-,-,3,5 ,19,13,24,10,7,2,1,,7,6,11,24,2,4,5,11,1,6,11,18,3,2,13,18,4,2,12,4,0,21,25
Men,2025,12,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Bahrain,Chinese Taipei,3,0,25,25,35,-,-,18,22,33,-,-,ALL,30 ,83,55,75,61,39,16,6,,39,10,31,80,16,25,17,58,6,12,66,84,23,3,36,62,12,8,31,19,0,59,78
Men,2025,12,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Bahrain,Chinese Taipei,3,0,25,25,35,-,-,18,22,33,-,-,1,9 ,24,16,19,20,11,6,3,,11,3,7,21,6,7,7,20,3,5,17,25,8,1,7,16,1,2,7,6,0,14,20
Men,2025,12,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Bahrain,Chinese Taipei,3,0,25,25,35,-,-,18,22,33,-,-,2,11 ,25,14,22,18,13,4,1,,13,4,12,29,4,6,2,12,1,2,21,24,8,0,13,21,5,2,11,8,0,21,29
Men,2025,12,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Bahrain,Chinese Taipei,3,0,25,25,35,-,-,18,22,33,-,-,3,10 ,34,25,34,23,15,6,2,,15,3,12,30,6,12,8,26,2,5,28,35,7,2,16,25,6,4,13,5,0,24,29
Men,2025,12,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Chinese Taipei,Bahrain,0,3,18,22,33,-,-,25,25,35,-,-,ALL,20 ,75,53,83,57,46,8,3,,46,25,25,96,8,19,13,40,3,12,59,74,20,6,46,72,33,5,41,15,0,79,94
Men,2025,12,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Chinese Taipei,Bahrain,0,3,18,22,33,-,-,25,25,35,-,-,1,3 ,19,15,24,13,9,3,1,,9,8,8,25,3,3,1,7,1,2,15,18,6,3,11,20,11,4,15,2,0,24,26
Men,2025,12,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Chinese Taipei,Bahrain,0,3,18,22,33,-,-,25,25,35,-,-,2,8 ,22,14,25,18,15,3,0,,15,8,7,30,3,7,5,15,0,2,21,23,9,1,12,22,9,1,12,4,0,23,27
Men,2025,12,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Chinese Taipei,Bahrain,0,3,18,22,33,-,-,25,25,35,-,-,3,9 ,34,24,34,26,22,2,2,,22,9,10,41,2,9,7,18,2,8,23,33,5,2,23,30,13,0,14,9,0,32,41
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Indonesia,Pakistan,1,3,25,21,20,17,-,20,25,25,25,-,ALL,20 ,84,63,94,66,56,7,3,,56,21,31,108,7,26,17,50,3,14,67,84,19,6,57,82,31,12,54,14,0,93,107
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Indonesia,Pakistan,1,3,25,21,20,17,-,20,25,25,25,-,1,8 ,25,17,20,19,16,1,2,,16,3,10,29,1,3,7,11,2,6,17,25,4,1,11,16,9,2,18,4,0,23,27
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Indonesia,Pakistan,1,3,25,21,20,17,-,20,25,25,25,-,2,4 ,21,17,25,18,17,1,0,,17,2,3,22,1,7,2,10,0,6,15,21,9,2,12,23,4,4,9,3,0,21,24
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Indonesia,Pakistan,1,3,25,21,20,17,-,20,25,25,25,-,3,3 ,21,17,24,17,13,3,1,,13,6,11,30,3,8,2,13,1,1,19,21,5,1,16,22,9,3,14,4,0,25,29
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Indonesia,Pakistan,1,3,25,21,20,17,-,20,25,25,25,-,4,5 ,17,12,25,12,10,2,0,,10,10,7,27,2,8,6,16,0,1,16,17,1,2,18,21,9,3,13,3,0,24,27
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Pakistan,Indonesia,3,1,20,25,25,25,-,25,21,20,17,-,ALL,31 ,94,64,84,72,50,16,6,,50,10,35,95,16,29,16,61,6,12,76,94,21,3,46,70,24,12,48,11,0,86,97
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Pakistan,Indonesia,3,1,20,25,25,25,-,25,21,20,17,-,1,3 ,20,17,25,14,10,3,1,,10,2,9,21,3,11,5,19,1,4,15,20,4,2,13,19,6,1,11,0,0,23,23
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Pakistan,Indonesia,3,1,20,25,25,25,-,25,21,20,17,-,2,8 ,25,17,21,18,14,2,2,,14,2,6,22,2,8,2,12,2,2,21,25,7,0,8,15,4,4,11,5,0,17,22
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Pakistan,Indonesia,3,1,20,25,25,25,-,25,21,20,17,-,3,7 ,24,18,21,21,16,4,1,,16,3,10,29,4,4,6,14,1,2,21,24,6,1,13,20,9,5,17,3,0,27,30
Men,2025,13,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Pakistan,Indonesia,3,1,20,25,25,25,-,25,21,20,17,-,4,13 ,25,12,17,19,10,7,2,,10,3,10,23,7,6,3,16,2,4,19,25,4,0,12,16,5,2,9,3,0,19,22
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Qatar,Vietnam,3,2,29,25,25,22,15,31,21,15,25,12,ALL,40 ,116,76,104,95,73,15,7,,73,17,43,133,15,36,25,76,7,13,95,115,22,4,66,92,41,14,64,22,1,103,126
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Qatar,Vietnam,3,2,29,25,25,22,15,31,21,15,25,12,1,7 ,30,22,30,23,20,2,1,,20,7,8,35,2,12,5,19,1,4,25,30,7,1,17,25,9,3,15,8,0,26,34
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Qatar,Vietnam,3,2,29,25,25,22,15,31,21,15,25,12,2,9 ,24,16,22,20,13,5,2,,13,3,12,28,5,6,7,18,2,4,18,24,4,0,15,19,8,4,13,5,0,20,25
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Qatar,Vietnam,3,2,29,25,25,22,15,31,21,15,25,12,3,14 ,25,11,15,21,15,3,3,,15,0,7,22,3,5,6,14,3,1,21,25,2,2,8,12,13,3,17,2,1,21,24
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Qatar,Vietnam,3,2,29,25,25,22,15,31,21,15,25,12,4,5 ,22,17,25,18,16,1,1,,16,6,7,29,1,10,5,16,1,3,18,22,7,0,17,24,6,2,10,4,0,23,27
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Qatar,Vietnam,3,2,29,25,25,22,15,31,21,15,25,12,5,5 ,15,10,12,13,9,4,0,,9,1,9,19,4,3,2,9,0,1,13,14,2,1,9,12,5,2,9,3,0,13,16
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Vietnam,Qatar,2,3,31,21,15,25,12,29,25,25,22,15,ALL,28 ,104,76,116,76,64,8,4,,64,22,55,141,8,23,21,52,4,13,88,105,19,7,76,102,42,18,68,13,0,127,140
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Vietnam,Qatar,2,3,31,21,15,25,12,29,25,25,22,15,1,8 ,30,23,30,22,16,5,1,,16,3,13,32,5,8,4,17,1,5,24,30,5,1,20,26,7,2,11,3,0,30,33
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Vietnam,Qatar,2,3,31,21,15,25,12,29,25,25,22,15,2,6 ,22,15,24,14,14,0,0,,14,7,10,31,0,4,6,10,0,3,19,22,5,2,13,20,13,2,16,2,0,30,32
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Vietnam,Qatar,2,3,31,21,15,25,12,29,25,25,22,15,3,4 ,15,11,25,12,10,0,2,,10,4,16,30,0,5,2,7,2,3,10,15,3,3,18,24,8,6,16,3,0,26,29
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Vietnam,Qatar,2,3,31,21,15,25,12,29,25,25,22,15,4,8 ,25,17,22,17,15,2,0,,15,3,10,28,2,5,4,11,0,1,24,25,3,1,15,19,8,3,12,2,0,24,26
Men,2025,14,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Vietnam,Qatar,2,3,31,21,15,25,12,29,25,25,22,15,5,2 ,12,10,15,11,9,1,1,,9,5,6,20,1,1,5,7,1,1,11,13,3,0,10,13,6,5,13,3,0,17,20
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Australia,Korea,1,3,23,18,25,23,-,25,25,22,25,-,ALL,32 ,90,57,96,69,48,15,6,,48,15,40,103,15,19,16,50,6,20,64,90,25,7,50,82,28,15,50,16,1,89,106
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Australia,Korea,1,3,23,18,25,23,-,25,25,22,25,-,1,8 ,23,15,25,18,15,3,0,,15,3,11,29,3,6,7,16,0,6,17,23,7,0,15,22,9,7,19,5,0,27,32
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Australia,Korea,1,3,23,18,25,23,-,25,25,22,25,-,2,4 ,19,14,24,14,11,1,2,,11,4,6,21,1,4,3,8,2,4,13,19,5,2,13,20,3,5,11,3,1,18,22
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Australia,Korea,1,3,23,18,25,23,-,25,25,22,25,-,3,11 ,24,14,23,18,10,6,2,,10,5,11,26,6,3,3,12,2,5,17,24,6,3,10,19,8,1,9,4,0,20,24
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Australia,Korea,1,3,23,18,25,23,-,25,25,22,25,-,4,9 ,24,14,24,19,12,5,2,,12,3,12,27,5,6,3,14,2,5,17,24,7,2,12,21,8,2,11,4,0,24,28
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Korea,Australia,3,1,25,25,22,25,-,23,18,25,23,-,ALL,39 ,96,58,90,67,54,6,7,,54,21,30,105,6,18,23,47,7,14,75,96,13,6,51,70,36,11,58,19,0,85,104
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Korea,Australia,3,1,25,25,22,25,-,23,18,25,23,-,1,10 ,25,15,23,17,16,1,0,,16,5,12,33,1,7,7,15,0,3,22,25,2,0,15,17,14,5,25,8,0,26,34
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Korea,Australia,3,1,25,25,22,25,-,23,18,25,23,-,2,10 ,24,15,19,19,14,3,2,,14,1,4,19,3,5,4,12,2,4,18,24,5,2,8,15,4,1,7,2,0,16,18
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Korea,Australia,3,1,25,25,22,25,-,23,18,25,23,-,3,9 ,23,13,24,14,9,2,3,,9,9,7,25,2,2,7,11,3,4,16,23,3,2,14,19,8,2,12,5,0,19,24
Men,2025,15,2025/6/21,Quarter_Finals,-,Manama,Bahrain,Korea,Australia,3,1,25,25,22,25,-,23,18,25,23,-,4,10 ,24,15,24,17,15,0,2,,15,6,7,28,0,4,5,9,2,3,19,24,3,2,14,19,10,3,14,4,0,24,28
Men,2025,16,2025/6/22,9th-11th,-,Manama,Bahrain,Thailand,New Zealand,3,0,25,25,27,-,-,20,17,25,-,-,ALL,29 ,75,48,64,44,37,4,3,,37,9,23,69,4,14,16,34,3,10,63,76,13,3,27,43,22,12,41,15,0,51,66
Men,2025,16,2025/6/22,9th-11th,-,Manama,Bahrain,Thailand,New Zealand,3,0,25,25,27,-,-,20,17,25,-,-,1,10 ,24,15,21,14,12,1,1,,12,3,5,20,1,6,5,12,1,2,22,25,3,1,8,12,5,1,9,6,0,13,19
Men,2025,16,2025/6/22,9th-11th,-,Manama,Bahrain,Thailand,New Zealand,3,0,25,25,27,-,-,20,17,25,-,-,2,9 ,25,16,17,14,11,2,1,,11,3,3,17,2,3,4,9,1,4,19,24,3,1,7,11,7,6,13,2,0,14,16
Men,2025,16,2025/6/22,9th-11th,-,Manama,Bahrain,Thailand,New Zealand,3,0,25,25,27,-,-,20,17,25,-,-,3,10 ,26,17,26,16,14,1,1,,14,3,15,32,1,5,7,13,1,4,22,27,7,1,12,20,10,5,19,7,0,24,31
Men,2025,16,2025/6/22,9th-11th,-,Manama,Bahrain,New Zealand,Thailand,0,3,20,17,25,-,-,25,25,27,-,-,ALL,16 ,64,46,75,43,36,4,3,,36,15,35,86,4,12,7,23,3,20,40,63,16,3,47,66,26,11,40,13,0,68,81
Men,2025,16,2025/6/22,9th-11th,-,Manama,Bahrain,New Zealand,Thailand,0,3,20,17,25,-,-,25,25,27,-,-,1,6 ,21,14,24,15,12,2,1,,12,4,11,27,2,1,1,4,1,8,11,20,7,1,15,23,7,4,12,5,0,22,27
Men,2025,16,2025/6/22,9th-11th,-,Manama,Bahrain,New Zealand,Thailand,0,3,20,17,25,-,-,25,25,27,-,-,2,1 ,17,16,25,10,9,0,1,,9,5,9,23,0,4,2,6,1,7,10,18,5,1,14,20,4,4,8,4,0,19,23
Men,2025,16,2025/6/22,9th-11th,-,Manama,Bahrain,New Zealand,Thailand,0,3,20,17,25,-,-,25,25,27,-,-,3,9 ,26,16,26,18,15,2,1,,15,6,15,36,2,7,4,13,1,5,19,25,4,1,18,23,15,3,20,4,0,27,31
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Chinese Taipei,Australia,1,3,22,25,12,19,-,25,20,25,25,-,ALL,25 ,79,53,94,60,45,9,6,,45,32,32,109,9,19,13,41,6,8,65,79,20,1,61,82,31,8,46,20,1,87,108
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Chinese Taipei,Australia,1,3,22,25,12,19,-,25,20,25,25,-,1,8 ,23,14,24,15,10,4,1,,10,8,11,29,4,6,2,12,1,4,18,23,9,0,11,20,8,2,13,6,0,23,29
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Chinese Taipei,Australia,1,3,22,25,12,19,-,25,20,25,25,-,2,11 ,24,14,21,21,15,2,4,,15,3,8,26,2,3,3,8,4,3,17,24,3,1,13,17,10,0,12,4,0,19,23
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Chinese Taipei,Australia,1,3,22,25,12,19,-,25,20,25,25,-,3,2 ,13,10,24,8,7,1,0,,7,12,7,26,1,3,2,6,0,0,13,13,5,0,17,22,7,3,11,3,0,23,26
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Chinese Taipei,Australia,1,3,22,25,12,19,-,25,20,25,25,-,4,4 ,19,15,25,16,13,2,1,,13,9,6,28,2,7,6,15,1,1,17,19,3,0,20,23,6,3,10,7,1,22,30
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Australia,Chinese Taipei,3,1,25,20,25,25,-,22,25,12,19,-,ALL,41 ,94,54,79,72,53,18,1,,53,13,30,96,18,23,20,61,1,12,81,94,13,6,52,71,26,12,47,11,0,83,94
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Australia,Chinese Taipei,3,1,25,20,25,25,-,22,25,12,19,-,1,10 ,24,15,23,18,13,5,0,,13,6,7,26,5,6,7,18,0,4,20,24,5,1,13,19,8,3,13,2,0,25,27
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Australia,Chinese Taipei,3,1,25,20,25,25,-,22,25,12,19,-,2,7 ,21,13,24,16,13,2,1,,13,2,9,24,2,3,5,10,1,4,16,21,1,4,16,21,6,6,14,2,0,21,23
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Australia,Chinese Taipei,3,1,25,20,25,25,-,22,25,12,19,-,3,14 ,24,11,13,21,13,8,0,,13,2,5,20,8,4,5,17,0,2,22,24,3,0,10,13,4,2,9,5,0,13,18
Men,2025,17,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Australia,Chinese Taipei,3,1,25,20,25,25,-,22,25,12,19,-,4,10 ,25,15,19,17,14,3,0,,14,3,9,26,3,10,3,16,0,2,23,25,4,1,13,18,8,1,11,2,0,24,26
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Indonesia,Vietnam,3,2,23,24,25,25,15,25,26,17,23,12,ALL,42 ,112,70,103,89,74,11,4,,74,13,42,129,11,30,21,62,4,11,97,112,21,8,62,91,50,21,74,28,0,100,128
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Indonesia,Vietnam,3,2,23,24,25,25,15,25,26,17,23,12,1,6 ,24,17,24,19,17,2,0,,17,1,7,25,2,6,3,11,0,3,21,24,5,2,15,22,6,6,12,7,0,17,24
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Indonesia,Vietnam,3,2,23,24,25,25,15,25,26,17,23,12,2,11 ,24,13,26,16,14,2,0,,14,5,18,37,2,7,9,18,0,0,24,24,3,1,20,24,16,8,25,7,0,29,36
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Indonesia,Vietnam,3,2,23,24,25,25,15,25,26,17,23,12,3,10 ,25,15,17,20,16,2,2,,16,4,8,28,2,4,4,10,2,3,20,25,7,0,7,14,15,3,18,7,0,22,29
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Indonesia,Vietnam,3,2,23,24,25,25,15,25,26,17,23,12,4,8 ,24,17,24,22,19,3,0,,19,2,5,26,3,7,4,14,0,3,21,24,5,2,14,21,7,4,13,5,0,21,26
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Indonesia,Vietnam,3,2,23,24,25,25,15,25,26,17,23,12,5,7 ,15,8,12,12,8,2,2,,8,1,4,13,2,6,1,9,2,2,11,15,1,3,6,10,6,0,6,2,0,11,13
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Vietnam,Indonesia,2,3,25,26,17,23,12,23,24,25,25,15,ALL,33 ,103,70,112,83,68,7,8,,68,22,54,144,7,37,21,65,8,12,83,103,25,4,72,101,38,12,61,25,0,116,141
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Vietnam,Indonesia,2,3,25,26,17,23,12,23,24,25,25,15,1,7 ,24,18,24,22,19,1,2,,19,4,6,29,1,9,5,15,2,2,20,24,3,0,18,21,6,4,12,5,0,22,27
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Vietnam,Indonesia,2,3,25,26,17,23,12,23,24,25,25,15,2,13 ,26,13,24,22,19,2,1,,19,8,18,45,2,8,8,18,1,2,23,26,6,0,18,24,18,2,25,10,0,34,44
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Vietnam,Indonesia,2,3,25,26,17,23,12,23,24,25,25,15,3,2 ,17,15,25,13,10,3,0,,10,4,12,26,3,8,5,16,0,3,14,17,4,2,16,22,5,1,7,4,0,22,26
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Vietnam,Indonesia,2,3,25,26,17,23,12,23,24,25,25,15,4,7 ,24,16,24,19,16,1,2,,16,3,10,29,1,8,1,10,2,3,19,24,7,0,14,21,5,3,11,6,0,23,29
Men,2025,18,2025/6/22,Playoff_5-8,-,Manama,Bahrain,Vietnam,Indonesia,2,3,25,26,17,23,12,23,24,25,25,15,5,4 ,12,8,15,7,4,0,3,,4,3,8,15,0,4,2,6,3,2,7,12,5,2,6,13,4,2,6,0,0,15,15
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Chinese Taipei,Vietnam,3,1,21,25,25,25,-,25,22,19,22,-,ALL,33 ,95,63,89,76,58,11,7,,58,15,29,102,11,17,18,46,7,11,77,95,22,5,51,78,27,15,49,12,0,86,98
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Chinese Taipei,Vietnam,3,1,21,25,25,25,-,25,22,19,22,-,1,5 ,22,16,24,17,13,3,1,,13,3,4,20,3,7,3,13,1,1,20,22,6,2,13,21,0,5,5,4,0,15,19
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Chinese Taipei,Vietnam,3,1,21,25,25,25,-,25,22,19,22,-,2,11 ,24,14,23,19,14,3,2,,14,6,12,32,3,2,4,9,2,4,18,24,5,1,13,19,13,2,18,2,0,30,32
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Chinese Taipei,Vietnam,3,1,21,25,25,25,-,25,22,19,22,-,3,8 ,25,17,19,23,18,2,3,,18,2,4,24,2,1,6,9,3,2,20,25,5,0,14,19,7,7,14,2,0,22,24
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Chinese Taipei,Vietnam,3,1,21,25,25,25,-,25,22,19,22,-,4,9 ,24,16,23,17,13,3,1,,13,4,9,26,3,7,5,15,1,4,19,24,6,2,11,19,7,1,12,4,0,19,23
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Vietnam,Chinese Taipei,1,3,25,22,19,22,-,21,25,25,25,-,ALL,26 ,89,62,95,69,55,9,5,,55,16,36,107,9,31,13,53,5,11,73,89,12,7,65,84,27,11,43,17,0,89,106
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Vietnam,Chinese Taipei,1,3,25,22,19,22,-,21,25,25,25,-,1,8 ,24,17,22,22,18,2,2,,18,4,4,26,2,8,2,12,2,3,19,24,0,1,20,21,6,3,9,2,0,25,27
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Vietnam,Chinese Taipei,1,3,25,22,19,22,-,21,25,25,25,-,2,9 ,23,13,24,16,11,4,1,,11,4,10,25,4,9,6,19,1,4,18,23,4,2,14,20,7,2,11,4,0,23,27
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Vietnam,Chinese Taipei,1,3,25,22,19,22,-,21,25,25,25,-,3,2 ,19,17,25,16,15,1,0,,15,4,9,28,1,7,2,10,0,0,19,19,4,3,16,23,6,3,10,5,0,21,26
Men,2025,19,2025/6/23,Final_7-8,-,Manama,Bahrain,Vietnam,Chinese Taipei,1,3,25,22,19,22,-,21,25,25,25,-,4,7 ,23,15,24,15,11,2,2,,11,4,13,28,2,7,3,12,2,4,17,23,4,1,15,20,8,3,13,6,0,20,26
Men,2025,20,2025/6/23,Final_5-6,-,Manama,Bahrain,Australia,Indonesia,3,0,25,25,25,-,-,20,21,22,-,-,ALL,26 ,72,48,65,51,36,12,3,,36,7,33,76,12,18,11,41,3,11,59,73,8,2,45,55,25,11,44,9,1,66,76
Men,2025,20,2025/6/23,Final_5-6,-,Manama,Bahrain,Australia,Indonesia,3,0,25,25,25,-,-,20,21,22,-,-,1,8 ,23,16,21,18,11,4,3,,11,2,11,24,4,5,4,13,3,4,17,24,4,0,15,19,8,4,14,2,1,21,24
Men,2025,20,2025/6/23,Final_5-6,-,Manama,Bahrain,Australia,Indonesia,3,0,25,25,25,-,-,20,21,22,-,-,2,10 ,25,15,21,18,12,6,0,,12,3,9,24,6,5,4,15,0,4,21,25,2,1,15,18,8,1,12,4,0,20,24
Men,2025,20,2025/6/23,Final_5-6,-,Manama,Bahrain,Australia,Indonesia,3,0,25,25,25,-,-,20,21,22,-,-,3,8 ,24,17,23,15,13,2,0,,13,2,13,28,2,8,3,13,0,3,21,24,2,1,15,18,9,6,18,3,0,25,28
Men,2025,20,2025/6/23,Final_5-6,-,Manama,Bahrain,Indonesia,Australia,0,3,20,21,22,-,-,25,25,25,-,-,ALL,17 ,65,46,72,46,40,4,2,,40,24,33,97,4,18,12,34,2,10,53,65,14,3,45,62,31,7,51,16,1,80,97
Men,2025,20,2025/6/23,Final_5-6,-,Manama,Bahrain,Indonesia,Australia,0,3,20,21,22,-,-,25,25,25,-,-,1,5 ,21,15,23,13,13,0,0,,13,9,11,33,0,8,5,13,0,2,19,21,3,3,14,20,12,0,16,3,0,30,33
Men,2025,20,2025/6/23,Final_5-6,-,Manama,Bahrain,Indonesia,Australia,0,3,20,21,22,-,-,25,25,25,-,-,2,6 ,21,15,25,16,13,2,1,,13,8,11,32,2,7,2,11,1,3,17,21,7,0,14,21,9,1,13,7,1,24,32
Men,2025,20,2025/6/23,Final_5-6,-,Manama,Bahrain,Indonesia,Australia,0,3,20,21,22,-,-,25,25,25,-,-,3,6 ,23,16,24,17,14,2,1,,14,7,11,32,2,3,5,10,1,5,17,23,4,0,17,21,10,6,22,6,0,26,32
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Bahrain,Korea,3,2,25,25,21,18,15,21,23,25,25,13,ALL,28 ,104,76,107,77,62,10,5,,62,17,47,126,10,29,21,60,5,24,74,103,23,2,69,94,30,7,47,19,1,101,121
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Bahrain,Korea,3,2,25,25,21,18,15,21,23,25,25,13,1,9 ,25,16,21,15,12,1,2,,12,4,10,26,1,5,5,11,2,7,15,24,6,1,10,17,7,1,10,3,0,21,24
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Bahrain,Korea,3,2,25,25,21,18,15,21,23,25,25,13,2,6 ,24,19,24,19,12,6,1,,12,2,13,27,6,6,4,16,1,7,17,25,3,0,17,20,5,0,7,3,1,23,27
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Bahrain,Korea,3,2,25,25,21,18,15,21,23,25,25,13,3,5 ,22,16,24,17,15,1,1,,15,4,9,28,1,8,4,13,1,3,17,21,7,0,15,22,5,4,13,3,0,23,26
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Bahrain,Korea,3,2,25,25,21,18,15,21,23,25,25,13,4,3 ,18,15,25,14,11,2,1,,11,6,11,28,2,8,3,13,1,5,13,19,6,1,16,23,6,2,9,7,0,20,27
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Bahrain,Korea,3,2,25,25,21,18,15,21,23,25,25,13,5,5 ,15,10,13,12,12,0,0,,12,1,4,17,0,2,5,7,0,2,12,14,1,0,11,12,7,0,8,3,0,14,17
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Korea,Bahrain,2,3,21,23,25,25,13,25,25,21,18,15,ALL,31 ,107,76,104,73,62,9,2,,62,21,34,117,9,28,18,55,2,14,92,108,21,5,53,79,42,16,69,17,0,97,114
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Korea,Bahrain,2,3,21,23,25,25,13,25,25,21,18,15,1,5 ,21,16,25,11,9,1,1,,9,6,7,22,1,3,4,8,1,5,16,22,2,2,13,17,9,4,15,1,0,23,24
Men,2025,21,2025/6/23,Semi_Finals,-,Manama,Bahrain,Korea,Bahrain,2,3,21,23,25,25,13,25,25,21,18,15,2,5 ,24,18,24,14,13,1,0,,13,7,6,26,1,9,3,13,0,3,20,23,7,1,10,18,11,3,15,5,0,19,24
